territoire;statut;cout_moyen_de_production_eur_mwh
Corse;Validé;196.76
Guyane;Validé;313.83
Martinique;Validé;298.79
Guadeloupe;Validé;191.0
Réunion;Validé;152.98
Martinique;Validé;295.81
Corse;Validé;207.4
Guadeloupe;Validé;187.9
Réunion;Validé;141.7
Guyane;Validé;320.26
Martinique;Validé;288.52
Corse;Validé;204.32
Guadeloupe;Validé;187.15
Guyane;Validé;303.07
Réunion;Validé;141.83
Guyane;Validé;307.93
Martinique;Validé;281.67
Corse;Validé;198.6
Guadeloupe;Validé;187.06
Réunion;Validé;146.68
